Latitude,Longitude
32.633744002799816,-81.574
32.63339788085067,-81.52800970018254
32.632359628467235,-81.48203444696759
32.63062958599544,-81.4360892809378
32.62820832052515,-81.39018923063993
32.625096625660056,-81.34434930657744
32.62129552119593,-81.29858449521507
32.61680625270728,-81.25290975299997
32.61163029104278,-81.20734000040333
32.6057693317298,-81.16189011598638
32.599225294288495,-81.11657493049489
32.59200032145597,-81.07140922098624
32.58409677832089,-81.02640770499265
32.57551725136951,-80.98158503472466
32.56626454744348,-80.93695579131868
32.55634169261021,-80.89253447913228
32.54575193094682,-80.84833552009073
32.53449872323826,-80.80437324808881
32.52258574559067,-80.76066190345101
32.510016887960866,-80.71721562745373
32.49679625260309,-80.674048456913
32.48292815243396,-80.63117431884062
32.468417109316796,-80.58860702517244
32.453267852266585,-80.54636026757117
32.43748531557669,-80.50444761230753
32.42107463686863,-80.46288249522195
32.404041155066224,-80.42167821676992
32.38639040829549,-80.38084793715373
32.3681281317116,-80.34040467154287
32.34926025525453,-80.30036128538595
32.3297929013346,-80.26073048981607
32.3097323824496,-80.22152483715227
32.28908519873511,-80.18275671649877
32.267858035449194,-80.14443834944429
32.24605776039368,-80.10658178586324
32.22369142127299,-80.06919889982039
32.20076624299267,-80.03230138558095
32.177289624899096,-79.99590075372708
32.15326913796195,-79.96000832738285
32.128712521901356,-79.92463523854833
32.10362768226133,-79.88979242454425
32.07802268743124,-79.85549062456828
32.05190576561708,-79.82174037636359
32.02528530176426,-79.78855201300073
31.9981698344338,-79.7559356597733
31.970568052633563,-79.7239012312082
31.942488792606373,-79.69245842819048
31.913941034576794,-79.6616167352035
31.884933899458417,-79.63138541768448
31.85547664552322,-79.60177351949548
31.82557866503511,-79.57278986050974
31.79524948084908,-79.54444303431355
31.76449874297802,-79.51674140602297
31.733336225128784,-79.48969311021575
31.701771821209274,-79.46330604897716
31.669815541808376,-79.43758789006006
31.637477510650363,-79.41254606515814
31.604767961025537,-79.38818776829167
31.571697232198833,-79.36451995430525
31.538275765797923,-79.34154933747627
31.504514102182743,-79.31928239023374
31.470422876797794,-79.29772534198587
31.436012816509063,-79.2768841780557
31.401294735927074,-79.25676463872364
31.366279533717638,-79.23737221837547
31.33097818890193,-79.21871216475469
31.295401757147392,-79.200789478318
31.25956136705093,-79.18360891169218
31.223468216416023,-79.16717496923138
31.187133568525038,-79.15149190667302
31.150568748408315,-79.13656373089074
31.11378513911142,-79.12239419974327
31.07679417796193,-79.10898682201699
31.039607352836978,-79.09634485746112
31.002236198433216,-79.08447131691346
30.964692292540136,-79.0733689625153
30.92698725231824,-79.06304030801347
30.88913273058326,-79.0534876191481
30.851140412097593,-79.04471291412413
30.813022009870227,-79.03671796416495
30.774789261466218,-79.02950429414612
30.736453925326952,-79.02307318330783
30.698027777102226,-79.0174256660438
30.659522605995242,-79.01256253276522
30.62095021112158,-79.00848433083766
30.582322397883125,-79.00519136558943
30.543650974358016,-79.00268370138922
30.5049477477075,-79.00096116279155
30.466224520600683,-79.00002333574821
30.427493087658068,-78.99986956888358
30.388765231914757,-79.00049897483275
30.350052721304227,-79.0019104316399
30.311367305163422,-79.00410258421579
30.27272071076004,-79.00707384585245
30.234124639842815,-79.01082239979337
30.19559076521546,-79.01534620085752
30.157130727335105,-79.02064297711556
30.118756130935886,-79.02671023161668
30.080478541678392,-79.03354524416443
30.04230948282564,-79.04114507313983
30.0042604319462,-79.04950655737055
29.966342817645153,-79.0586263180442
29.92856801632341,-79.06850076066465
29.890947348966016,-79.0791260770497
29.853492077960016,-79.0904982473686
